メーリングリストアドレス,コメント,設定リンク
alert-watch@icraft.jp,アラート受信用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008023/members
ons-project@icraft.jp,大阪鉛錫プロジェクト用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008025/members
yakuinkai@icraft.jp,役員会ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008027/members
osaka_pob@icraft.jp,大阪府財政課ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008029/members
kif@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00802b/members
i-sales@icraft.jp,i-salesML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00802d/members
ups@icraft.jp,UPS管理用ML?,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00802f/members
alert-watch-k@icraft.jp,アラート携帯受信用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008031/members
ml-sales@icraft.jp,東京営業用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008033/members
support-toyo@icraft.jp,東洋機械金属サポート用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008035/members
itie@icraft.jp,RHELニュースレター受信用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008037/members
isolution@icraft.jp,iSolutionサービスグループ,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008039/members
integral-pc@icraft.jp,インテグラル問い合わせ用？,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00803b/members
ml_hpcare@icraft.jp,HPCarePack用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00803d/members
sys_dev@icraft.jp,ソフトウェアGr用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00803f/members
kobe-all@icraft.jp,神戸本社allML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008041/members
ml_taiyo@icraft.jp,太陽鉱油用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008043/members
ejobgo@icraft.jp,ejobgo用アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008045/members
servicedesk@icraft.jp,サービスデスク用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008047/members
isupport@icraft.jp,istaff系サポート用ML?,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008049/members
system@icraft.jp,システム系ML?,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00804b/members
eventalerts@icraft.jp,アラート受信用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00804d/members
kouki-kourei@icraft.jp,後期高齢ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00804f/members
sysmex_support@icraft.jp,シスメックス受付アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008051/members
business-creation_pj@icraft.jp,ビジネスクリエーション保守アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008053/members
eventlog@icraft.jp,イベントログ受信アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008055/members
helpdesk@icraft.jp,ヘルプデスクML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008057/members
hmc@icraft.jp,Hardware Maintenance Contact,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008059/members
hpark_support@icraft.jp,公園協会ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00805b/members
inspector_support@icraft.jp,インスペクターサポートアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00805d/members
apply_kokusai@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00805f/members
night_mainte@icraft.jp,夜間保守用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008061/members
kobemed_mainte@icraft.jp,神戸市医師会HPハードウェア登録アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008063/members
status_kobe-med@icraft.jp,神戸市医師会サーバ管理者アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008065/members
sysmex-watch@icraft.jp,シスメックス監視アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008067/members
takumi-support@icraft.jp,匠インターネット受付アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008069/members
shoei-japan@icraft.jp,ショウエイ・ジャパン用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00806b/members
holiday@icraft.jp,休日保守メンバー,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00806d/members
joho_sec@icraft.jp,情報セキュリティ委員会,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00806f/members
nominchuluun.khatanbaatar@icraft.jp,ハギさん元のアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008071/members
tokyo@icraft.jp,東京ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008073/members
kobe_kanko@icraft.jp,神戸市観光情報入力案件,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008075/members
kobe-senkyo@icraft.jp,神戸市選挙管理委員会,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008077/members
kosugi@icraft.jp,小杉直転送アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008079/members
e-sales@icraft.jp,e-sales,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00807b/members
odoo@icraft.jp,Odooブログ管理アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00807d/members
project_yoi@icraft.jp,YOIプロジェクトML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00807f/members
ml-nsupport@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008081/members
hatena-a@icraft.jp,東京側はてなブックマーク利用用？,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008083/members
materu@icraft.jp,どこでもマテル問い合わせアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008085/members
ses@icraft.jp,SESグループML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008087/members
project_ipd@icraft.jp,伊藤忠都市開発プロジェクトアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008089/members
support-tk-fw@icraft.jp,東京支店,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00808b/members
jpf_support@icraft.jp,国際交流基金サポートアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00808d/members
support_en@icraft.jp,エン・ジャパン,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00808f/members
jpn_all@icraft.jp,アイクラフトJPN全体ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008091/members
misha_bbs@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008093/members
istaff-t@icraft.jp,iSTAFF東京ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008095/members
support-tk@icraft.jp,東京支店,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008097/members
higasa_support@icraft.jp,日笠工業サポートグループ,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008099/members
stepone_support@icraft.jp,ステップワン問い合わせ窓口,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00809b/members
ml-its@icraft.jp,itsML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00809d/members
marketing@icraft.jp,広報用アドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00809f/members
jmotto@icraft.jp,20151015浮田さん依頼ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080a1/members
system-engineer_register@icraft.jp,system-engineerML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080a3/members
tokyo-seminar@icraft.jp,東京開催セミナー,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080a5/members
ws-support@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080a7/members
sp8_support@icraft.jp,Spring-8,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080a9/members
soumu-all@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080ab/members
tokyo-all@icraft.jp,東京Allアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080ad/members
intl@icraft.jp,海外事業部問い合わせアドレス,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080af/members
ml_koryu@icraft.jp,社員交流委員会,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080b1/members
ml_tokyo@icraft.jp,東京メーリングリスト,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080b3/members
alert-watch-pc@icraft.jp,PCアラート確認用Ml,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080b4/members
toyo@icraft.jp,東洋機械金属,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080b6/members
kaspersky-client@icraft.jp,カスペルスキー顧客用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080b8/members
shinko-kankyo@icraft.jp,神鋼EN&M緊急連絡用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080ba/members
kihonjoho_studygroup@icraft.jp,基本情報勉強会用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080bc/members
kobelcokaken@icraft.jp,コベルコ科研用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080be/members
cd-kav@icraft.jp,カスペルスキー用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080c0/members
all@icraft.jp,アイクラフトallメーリングリスト,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080c2/members
yumekobo@icraft.jp,夢工房関連の諸々管理ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080c4/members
nishiri_vn@icraft.jp,西利オフコン刷新チーム用 (VN含む),https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080c6/members
maruyama-forti@icraft.jp,丸山工業所FortiGate管理用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080c8/members
nara_hotel_kitting@icraft.jp,istaff_ホテル日航奈良案件用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080ca/members
seikyu@icraft.jp,請求担当者ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080cc/members
shiire@icraft.jp,仕入れ担当者ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080ce/members
nishiri_jpn@icraft.jp,西利オフコン刷新チーム用（設計チームのみ）,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080d0/members
focus-support@icraft.jp,FOCUS賛助会員連絡用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080d2/members
arbeit@icraft.jp,アルバイト用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d0080d4/members
kinmu@icraft.jp,東京SES勤務管理,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b78f55095747d0080d6/members
test999@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b78f55095747d0080d8/members
istaff_second@icraft.jp,iSTAFF第二グループ,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b78f55095747d0080d9/members
ec-cube@icraft.jp,マル克水産ECCUBEプラグイン登録用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b78f55095747d0080db/members
saiyo@icraft.jp,採用担当者用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61b172887fa1e83c20000112/members
kokyaku1@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c180c77fa1e83c280002d0/members
kokyaku2@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3cff07fa1e83c2c000394/members
kokyaku3@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d020f5509550da0002a6/members
kokyaku4@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d03bf5509550d6000271/members
kokyaku5@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d0537fa1e83c2c000395/members
kokyaku6@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d070f5509550ce000374/members
kokyaku7@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d090f5509550d200031f/members
kokyaku8@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d0b67fa1e83c3c0002c1/members
kokyaku9@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d0cf7fa1e83c330002ec/members
kokyaku11@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d15ef5509550c60002de/members
kokyaku10@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d17af5509550e1000263/members
kokyaku12@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d18df5509550e1000264/members
kokyaku13@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d1f17fa1e83c2c000398/members
kokyaku14@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d205f5509550d6000272/members
kokyaku15@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d21af5509550ce000375/members
kokyaku16@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d22ef5509550c60002df/members
kokyaku17@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2427fa1e83c240002b9/members
kokyaku18@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d255f5509550d6000273/members
kokyaku19@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d26cf5509550ca000258/members
kokyaku20@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2807fa1e83c380002c2/members
kokyaku21@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2947fa1e83c2c000399/members
kokyaku22@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2a8f5509550e1000265/members
kokyaku23@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2bcf5509550d2000320/members
kokyaku24@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2d07fa1e83c20000255/members
kokyaku25@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d2f3f5509550ce000377/members
kokyaku26@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d31bf5509550ce000378/members
kokyaku27@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d3327fa1e83c330002ed/members
nenga-test@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3d9f77fa1e83c240002bb/members
nenga-test2@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3e73b7fa1e83c2c00039c/members
customer@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61c3e94b7fa1e83c240002c0/members
